"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source"
"VICWIhLUbU4","akech's",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","beauty",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","bedtime",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","glowing",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","minute",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","model",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","routine",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","secrets",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","skin",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","vogue",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"XSg9Xc3ie_A","baby",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","beauty",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","guide",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","huntington",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","perfect",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","rosie",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","secrets",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
