"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source","totalSource","freqSource"
"zTu3VkuORUQ","taylor",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","teyana",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","tough",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","2016",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","dsquared2",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","fall",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","fashion",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","milan",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","ready",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","wear",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"nHCMYfRGotU","week",1,1,1,2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week",6476,173,10,10,"Vogue",2423,0.000412711514651259
"anhEcKWRzyE","1",1,1,1,2017-10-16,"Road to the Runway: Episode 1 – Castings",2156737,37556,569,1656,"VS",803,0.0012453300124533
"anhEcKWRzyE","castings",1,1,1,2017-10-16,"Road to the Runway: Episode 1 – Castings",2156737,37556,569,1656,"VS",803,0.0012453300124533
"anhEcKWRzyE","episode",1,1,1,2017-10-16,"Road to the Runway: Episode 1 – Castings",2156737,37556,569,1656,"VS",803,0.0012453300124533
"anhEcKWRzyE","road",1,1,1,2017-10-16,"Road to the Runway: Episode 1 – Castings",2156737,37556,569,1656,"VS",803,0.0012453300124533
